DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
24,3.41519
39,3.41519
61,3.41519
32,4.122158
126,3.41519
183,4.196412
49,3.41519
125,3.41519
140,3.41519
105,3.41519
68,3.41519
70,3.41519
129,3.41519
94,3.41519
186,3.41519
63,3.41519
59,3.41519
28,3.41519
156,3.41519
146,3.41519
12,3.41519
148,3.41519
119,3.41519
99,3.41519
120,3.41519
109,125.50556
149,3.41519
96,3.41519
173,3.41519
9,4.5887899999999995
57,3.41519
65,3.41519
2,5.48457
169,34.838840000000005
54,3.41519
110,125.50556
139,3.41519
50,3.41519
154,3.41519
45,3.41519
16,3.41519
141,3.41519
112,3.41519
135,3.41519
180,5.48457
17,3.41519
92,3.41519
106,3.41519
1,5.48457
162,3.41519
142,3.41519
21,2.60725
136,3.41519
4,5.48457
23,2.60725
27,2.60725
34,3.41519
31,3.41519
145,3.41519
47,3.41519
163,3.41519
7,3.41519
124,3.41519
60,3.41519
144,3.41519
131,3.41519
56,3.41519
93,3.41519
167,3.41519
88,3.41519
22,2.60725
13,3.41519
55,3.41519
179,8.1454
53,3.41519
40,3.41519
97,3.41519
172,3.41519
11,2.60725
26,2.60725
118,127.77168
30,3.41519
37,3.41519
121,3.41519
164,3.41519
84,3.41519
147,3.41519
62,3.41519
159,3.41519
127,3.41519
104,3.41519
160,3.41519
8,3.41519
182,5.48457
134,3.41519
36,3.41519
184,3.41519
76,3.41519
89,3.41519
35,3.41519
130,3.41519
113,3.41519
78,3.41519
82,3.41519
153,3.41519
42,4.122158
79,3.41519
80,3.41519
102,3.41519
177,8.1454
73,3.41519
165,3.41519
51,3.41519
6,3.41519
74,3.41519
10,4.75249
81,3.41519
75,3.41519
33,3.41519
52,3.41519
69,3.41519
132,3.41519
171,3.41519
38,3.41519
91,3.41519
133,3.41519
64,3.41519
158,3.41519
77,3.41519
123,3.41519
122,3.41519
137,3.41519
83,3.41519
168,3.41519
143,3.41519
44,3.41519
29,3.41519
152,3.41519
46,3.41519
103,3.41519
19,3.41519
166,3.41519
43,3.41519
170,34.838840000000005
20,3.41519
187,5.48457
151,3.41519
161,3.41519
90,3.41519
66,3.41519
128,3.41519
72,3.41519
185,3.41519
25,2.60725
85,3.41519
181,5.48457
178,5.48457
117,125.50556
67,3.41519
176,5.48457
107,3.41519
111,3.41519
14,2.60725
101,3.41519
18,3.41519
175,21.755749999999995
5,17.12127
95,3.41519
87,3.41519
48,3.41519
71,3.41519
41,4.122158
115,3.41519
98,3.41519
3,5.48457
108,125.50556
138,3.41519
155,3.41519
174,3.41519
15,2.60725
58,3.41519
157,3.41519
150,3.41519
100,3.41519
86,3.41519
