DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
81,43.0649
36,43.0649
21,164.275467
181,15.6342
43,43.0649
11,164.275467
172,43.0649
85,43.0649
3,15.6342
40,43.0649
44,43.0649
148,43.0649
137,43.0649
93,43.0649
52,43.0649
122,43.0649
146,43.0649
84,43.0649
177,43.091499999999996
31,43.0649
30,43.0649
54,43.0649
74,43.0649
62,43.0649
185,43.0649
56,43.0649
170,311.206287
164,43.0649
14,164.275467
20,43.0649
32,43.229653
78,43.0649
166,43.0649
160,43.0649
168,43.0649
34,43.0649
1,15.6342
69,43.0649
45,43.0649
157,43.0649
58,43.0649
126,43.0649
35,43.0649
169,314.824497
61,43.0649
101,43.0649
65,43.0649
115,43.0649
13,43.0649
98,43.0649
145,43.0649
97,43.0649
100,43.0649
104,43.0649
67,43.0649
159,43.0649
51,43.0649
140,43.0649
17,43.0649
39,43.0649
91,43.0649
163,43.0649
105,43.0649
147,43.0649
53,43.0649
173,43.0649
130,43.0649
66,43.0649
25,164.275467
134,43.0649
174,43.0649
95,43.0649
182,15.6342
110,602.808857
90,43.0649
108,602.808857
180,15.6342
120,43.0649
5,16.75096
9,43.0649
6,43.0649
24,43.0649
57,43.0649
76,43.0649
23,164.275467
47,43.0649
4,15.6342
152,43.0649
154,43.0649
128,43.0649
165,43.0649
132,43.0649
167,43.0649
124,43.0649
139,43.0649
22,164.275467
46,43.0649
186,43.0649
92,43.0649
151,43.0649
26,164.275467
12,43.0649
156,43.0649
27,164.275467
89,43.0649
176,15.6342
109,602.808857
113,43.0649
155,43.0649
48,43.0649
111,43.0649
42,43.0649
158,43.0649
82,43.0649
19,43.0649
94,43.0649
178,43.091499999999996
75,43.0649
37,43.0649
149,43.0649
179,43.091499999999996
87,43.0649
123,43.0649
49,43.0649
125,43.0649
171,43.0649
7,43.0649
77,43.0649
127,43.0649
131,43.0649
55,43.0649
187,15.6342
103,43.0649
144,43.0649
133,43.0649
63,43.0649
16,43.0649
136,43.0649
72,43.0649
50,43.0649
2,15.6342
143,43.0649
60,43.0649
96,43.0649
38,43.0649
99,43.0649
64,43.0649
138,43.0649
153,43.0649
79,43.0649
59,43.0649
135,43.0649
71,43.0649
80,43.0649
88,43.0649
29,43.0649
102,43.0649
129,43.0649
117,609.504287
70,43.0649
150,43.0649
86,43.0649
162,43.0649
184,43.0649
83,43.0649
107,43.0649
121,43.0649
8,43.0649
33,43.0649
118,602.808857
175,17.542937
73,43.0649
183,43.0649
161,43.0649
10,43.0649
41,43.0649
28,43.0649
119,43.0649
15,164.275467
112,43.0649
18,43.0649
106,43.0649
68,43.0649
141,43.0649
142,43.0649
