LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
1,Hydrogenivirga sp. 128-5-R1-1 | EDP74743
2,Hydrogenobacter thermophilus TK-6 | BAI68617
3,Persephonella marina EX-H1 | ACO04194
4,Rhodothermus marinus DSM 4252 | ACY47550
5,Candidatus Kuenenia stuttgartiensis | CAJ74898
6,Acidithiobacillales bacterium SG8_45 | KPK11659
7,Acidithiobacillales bacterium SG8_45 | KPK12896
8,Acidithiobacillales bacterium SM23_46 | KPK69514
9,Bradyrhizobium oligotrophicum S58 | BAM92788
10,Prosthecomicrobium hirschii | KPL55974
11,Aliiroseovarius crassostreae | KPN61790
12,Dinoroseobacter shibae DFL 12 = DSM 16493 | ABV94913
13,Labrenzia aggregata | CTQ46751
14,Labrenzia alba | CTQ53626
15,Labrenzia alba | CTQ63333
16,Thalassobacter arenae DSM 19593 | EPX78564
17,Paracoccus sanguinis | KGJ14663
18,Paracoccus sanguinis | KGJ16348
19,Paracoccus sanguinis | KGJ19286
20,Paracoccus sp. MKU1 | KRW95054
21,Pseudovibrio sp. FO-BEG1 | AEV35410
22,Pseudovibrio sp. Ad46 | KZK94635
23,Pseudovibrio axinellae | KZL05178
24,Roseobacter denitrificans OCh 114 | ABG31193
25,Ruegeria atlantica | CUH47623
26,Ruegeria sp. CECT 5091 | CUK17577
27,Ruegeria sp. ZGT118 | KUJ73455
28,Ruegeria pomeroyi DSS-3 | AAV97354
29,Thioclava sp. DT23-4 | KEO60092
30,Rhodobacteraceae bacterium HLUCCO07 | KPP83431
31,Azospirillum brasilense | ALJ39431
32,Caenispirillum salinarum AK4 | EKV27616
33,Magnetospirillum sp. XM-1 | CUW37497
34,Magnetospirillum sp. XM-1 | CUW39091
35,Magnetospirillum sp. SO-1 | EME68346
36,Magnetospirillum marisnigri | OAN51092
37,Magnetospirillum moscoviense | OAN63200
38,Magnetospirillum gryphiswaldense MSR-1 | CAM74253
39,Magnetospirillum magneticum AMB-1 | BAE50199
40,Magnetospirillum magneticum AMB-1 | BAE52969
41,Thalassospira xiamenensis | KZB51849
42,Thalassospira permensis NBRC 106175 | KEO59842
43,Polymorphum gilvum SL003B-26A1 | ADZ69009
44,Alphaproteobacteria bacterium BRH_c36 | KUO58472
45,Bordetella petrii | CAP44402
46,Cupriavidus nantongensis | AMR81885
47,Cupriavidus sp. HMR-1 | EKZ97934
48,Cupriavidus alkaliphilus | SCB26603
49,Ralstonia eutropha H16 | CAJ97059
50,Ralstonia eutropha JMP134 | AAZ64358
51,Cupriavidus taiwanensis LMG 19424 | CAQ72627
52,Ralstonia pickettii DTP0602 | AGW94840
53,Acidovorax sp. Root70 | KRB41143
54,Acidovorax sp. Root275 | KRD56228
55,Alicycliphilus sp. B1 | GAO23488
56,Brachymonas denitrificans | ABI96831
57,Comamonas denitrificans | ABI96832
58,Curvibacter sp. PAE-UM | KRH99151
59,Diaphorobacter sp. J5-51 | KLR56966
60,Hydrogenophaga sp. LPB0072 | OAD43807
61,Pelomonas sp. Root1444 | KQY82451
62,Paucibacter sp. KCTC 42545 | ALT77177
63,Rubrivivax gelatinosus IL144 | BAL94003
64,Chromobacterium sp. LK11 | KMN81642
65,Pseudogulbenkiania sp. NH8B | BAK76244
66,Vogesella sp. EB | KMJ53071
67,Vogesella sp. LIG4 | SCK19326
68,Sideroxydans lithotrophicus ES-1 | ADE11367
69,Sulfuricella denitrificans skB26 | BAN34215
70,Methylobacillus sp. MM2 | OAJ71930
71,Thiobacillus denitrificans | KVW95088
72,Thiobacillus denitrificans ATCC 25259 | AAZ96030
73,Dechloromonas denitrificans | KXB30410
74,Dechloromonas denitrificans | KXB31613
75,Dechloromonas aromatica RCB | AAZ48004
76,Dechloromonas aromatica RCB | AAZ48052
77,Aromatoleum aromaticum EbN1 | CAI06598
78,Propionivibrio sp. S1 | SBT10752
79,Azoarcus sp. CIB | AKU13494
80,Azoarcus sp. CIB | AKU13501
81,Azoarcus sp. KH32C | BAL25833
82,Azoarcus sp. PA01 | KON80808
83,Azoarcus sp. PA01 | KON80814
84,Thauera sp. MZ1T | ACR01220
85,Thauera humireducens | AMO36595
86,Thauera sp. 27 | ENO83228
87,Thauera sp. 28 | ENO93245
88,Thauera humireducens | KMU69225
89,Thauera linaloolentis 47Lol = DSM 12138 | ENO85266
90,Thauera phenylacetica B4P | ENO97922
91,Thauera terpenica 58Eu | EPZ16013
92,Candidatus Accumulibacter sp. SK-12 | EXI67674
93,Candidatus Accumulibacter sp. SK-11 | EXI73901
